Description,Price (Eur),Number of Rooms,Number of Beds,Area in (sqm),Website,Qualities,Types,Names-Places
New and spacious home,"€1,200",2,1,57 m²,https://wunderflats.com/en/furnished-apartment/new-and-spacious-home/5bbb7f2ac164ba8dc983fcbd?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['spacious'],['home'],['New']
Cute & amazing loft (Mitte),"€4,290",3,3,75 m²,https://wunderflats.com/en/furnished-apartment/cute-and-amazing-loft-mitte/5767e47bbed9724267ef6304?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['loft'],"['Cute', 'Mitte']"
"Charming, perfect studio in Neukölln",€890,1,1,31 m²,https://wunderflats.com/en/furnished-apartment/charming-perfect-studio-in-neukoelln/5a7060b721760d7d29a9c0ff?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['perfect'],['studio'],"['Charming', 'Neukölln']"
Amazing home located in Friedrichshain,"€2,991",2,1,75 m²,https://wunderflats.com/en/furnished-apartment/amazing-home-located-in-friedrichshain/5d19c1e9b205d100081cb1a7?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['home'],"['Amazing', 'Friedrichshain']"
Iconic home in perfect location in Kreuzberg,"€1,150",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/iconic-home-in-perfect-location-in-kreuzberg/5fa8fbb05cb3520006405f9d?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['perfect'],"['home', 'location']","['Iconic', 'Kreuzberg']"
"Nice, lovely apartment in Hansaviertel","€5,000",2,3,122 m²,https://wunderflats.com/en/furnished-apartment/nice-lovely-apartment-in-hansaviertel/6051b85bf62d6b000707dc4d?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['apartment'],"['Nice', 'Hansaviertel']"
Stunning views in the historic and modern center of Berlin,"€1,990",2,1,51 m²,https://wunderflats.com/en/furnished-apartment/stunning-views-in-the-historic-and-modern-center-of-berlin/5df9d9372b02e800061db38f?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['modern'],"['historic', 'center']",['Berlin']
Perfect and beautiful suite located in Adlershof,"€2,299",3,6,70 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-beautiful-suite-located-in-adlershof/5b7e783f62df580c6ed4a260?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['beautiful'],['suite'],"['Perfect', 'Adlershof']"
"Wonderful, bright flat at Mauerpark","€1,850",4,2,89 m²,https://wunderflats.com/en/furnished-apartment/wonderful-bright-flat-at-mauerpark/5f705db72134db0007c19ef2?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['flat'],[],"['Wonderful', 'Mauerpark']"
Great apartment in Potsdam,"€1,850",4,3,80 m²,https://wunderflats.com/en/furnished-apartment/great-apartment-in-potsdam/606cdbad84e7c10007999c4e?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['apartment'],"['Great', 'Potsdam']"
Beautiful home in Moabit,"€1,300",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/beautiful-home-in-moabit/5c01121304d2e700061db3aa?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['home'],"['Beautiful', 'Moabit']"
Beautiful furnished 3 room apartment in central location of Berlin,"€2,345",3,2,78.25 m²,https://wunderflats.com/en/furnished-apartment/beautiful-furnished-3-room-apartment-in-central-location-of-berlin/6007f4610d2bea000667a398?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['central'],"['room', 'apartment', 'location']","['Beautiful', 'Berlin']"
"Fashionable, fantastic suite in Mitte","€5,049",4,4,100 m²,https://wunderflats.com/en/furnished-apartment/fashionable-fantastic-suite-in-mitte/5767dd7fbed9724267ef6301?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['Fashionable', 'fantastic']",['suite'],['Mitte']
Charming design apartment in Zehlendorf,"€1,490",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/charming-design-apartment-in-zehlendorf/602b829516723f0007af385d?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],"['design', 'apartment']",['Zehlendorf']
"Central apartment in Mitte, very quiet","€1,630",2,1,55 m²,https://wunderflats.com/en/furnished-apartment/central-apartment-in-mitte-very-quiet/5f003f52c7cf0e00066c7d93?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['Central', 'quiet']",['apartment'],['Mitte']
Quiet and pretty loft with nice neighbours (Berlin),"€4,686",3,2,95 m²,https://wunderflats.com/en/furnished-apartment/quiet-and-pretty-loft-with-nice-neighbours-berlin/5767e009bed9724267ef6302?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['Quiet', 'pretty', 'loft', 'nice']",[],['Berlin']
"Nice Apartment with balcony, new move","€1,870",3,6,87 m²,https://wunderflats.com/en/furnished-apartment/nice-apartment-with-balcony-new-move/5f6a32c88c976b000699ea46?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['new'],"['balcony', 'move']","['Nice', 'Apartment']"
Amazing & cozy apartment in Adlershof,€999,1,1,40 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-cozy-apartment-in-adlershof/58e258eba2736ce1b466c54e?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['cozy'],['apartment'],"['Amazing', 'Adlershof']"
Amazing & lovely suite in the Center of Berlin,"€2,400",3,3,87 m²,https://wunderflats.com/en/furnished-apartment/amazing-and-lovely-suite-in-the-center-of-berlin/5a0e0c042ce07beb61055b13?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,[],['suite'],"['Amazing', 'Center', 'Berlin']"
Nice and trendy apartment in Kreuzberg,"€2,100",2,4,65 m²,https://wunderflats.com/en/furnished-apartment/nice-and-trendy-apartment-in-kreuzberg/5fc82808ec89010006be3951?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['trendy'],['apartment'],"['Nice', 'Kreuzberg']"
Fresh furnished and refurbished 2-room-apartment in Kreuzberg,"€1,595",2,2,65 m²,https://wunderflats.com/en/furnished-apartment/fresh-furnished-and-refurbished-2-room-apartment-in-kreuzberg/57adb9907652a7f4cf8fc42b?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['2-room-apartment'],[],"['Fresh', 'Kreuzberg']"
Attractive fully furnished 2.5-room apartment with two large bathrooms and open kitchen,"€2,259",2,2,90 m²,https://wunderflats.com/en/furnished-apartment/attractive-fully-furnished-25-room-apartment-with-two-large-bathrooms-and-open-kitchen/59d602da9bac83a1463df99f?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['2.5-room', 'large', 'open']","['apartment', 'kitchen']",['Attractive']
Pretty flat in excellent location,"€1,280",2,3,38 m²,https://wunderflats.com/en/furnished-apartment/pretty-flat-in-excellent-location/550329d50d853bf574a2af9c?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['flat', 'excellent']",['location'],[]
Fully furnished luxury apartment with view to the Kurfürstendamm,"€1,090",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/fully-furnished-luxury-apartment-with-view-to-the-kurfuerstendamm/5f59edce2fe60f0006d5d369?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,['furnished'],"['luxury', 'apartment', 'view']",['Kurfürstendamm']
Pretty flat in excellent location,"€1,400",2,2,52 m²,https://wunderflats.com/en/furnished-apartment/pretty-flat-in-excellent-location/608afc150c4b3c0007b821ba?dataLayerKey=sZhZQkQzmkdTaWMq2aGm8,"['flat', 'excellent']",['location'],[]
Great and nice suite (Kreuzberg),"€1,630",2,1,49.43 m²,https://wunderflats.com/en/furnished-apartment/great-and-nice-suite-kreuzberg/5e95b12665faf50006d10690?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['nice'],['suite'],"['Great', 'Kreuzberg']"
Spacious and great loft in Mitte,"€2,772",2,1,65 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-great-loft-in-mitte/5767c61fbed9724267ef62fc?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['Spacious', 'great']",['loft'],['Mitte']
Great suite direct on Ku’damm,"€1,650",2,2,90 m²,https://wunderflats.com/en/furnished-apartment/great-suite-direct-on-ku'damm/5e05c96e4035f10006051f99?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['suite', 'direct']",['damm'],"['Great', 'Ku', '’']"
"Fantastic, quiet apartment","€2,400",3,3,165 m²,https://wunderflats.com/en/furnished-apartment/fantastic-quiet-apartment/5d9748351fe7260007888e84?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['quiet'],['apartment'],['Fantastic']
Renovated old building apartment with generous rooms in Berlin Mitte,"€2,499",3,1,110 m²,https://wunderflats.com/en/furnished-apartment/renovated-old-building-apartment-with-generous-rooms-in-berlin-mitte/5f71eeba4280150006d4eb22?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['old', 'generous']","['building', 'apartment']","['Berlin', 'Mitte']"
Historical building apartment in Mitte with balcony and chimney,"€2,690",4,2,109 m²,https://wunderflats.com/en/furnished-apartment/historical-building-apartment-in-mitte-with-balcony-and-chimney/5e7b6769f2d9180006e31626?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['Historical'],"['building', 'apartment', 'balcony', 'chimney']",['Mitte']
Sunny duplex apartment in premium location,"€2,800",3,1,100 m²,https://wunderflats.com/en/furnished-apartment/sunny-duplex-apartment-in-premium-location/5e397bb80a5b78000678c74d?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['duplex', 'premium']","['apartment', 'location']",['Sunny']
"Perfect and cozy apartment located in Mitte, Berlin","€1,756",2,2,50 m²,https://wunderflats.com/en/furnished-apartment/perfect-and-cozy-apartment-located-in-mitte-berlin/5f23db915b132200085c5136?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['cozy'],['apartment'],"['Perfect', 'Mitte', 'Berlin']"
"Stylish, spacious 1 room apartment in Potsdam, Klein Glienicke","€1,090",1,2,44 m²,https://wunderflats.com/en/furnished-apartment/stylish-spacious-1-room-apartment-in-potsdam-klein-glienicke/5f9bd9337f83280006861a58?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['Stylish', 'spacious']","['room', 'apartment']","['Potsdam', 'Klein', 'Glienicke']"
"Nice 3 room apartment in Falkensee, with access to the garden","€2,900",3,4,150 m²,https://wunderflats.com/en/furnished-apartment/nice-3-room-apartment-in-falkensee-with-access-to-the-garden/5f03594f7acfc0000696a44b?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['Nice'],"['room', 'apartment', 'access', 'garden']",['Falkensee']
"Bright, furnished and luxurious 3-room roof-top apartment in Pankow | separated entrance | 20min with Tram to Alexanderplatz","€2,400",3,2,129 m²,https://wunderflats.com/en/furnished-apartment/bright-furnished-and-luxurious-3-room-roof-top-apartment-in-pankow-or-separated-entrance-or-20min-with-tram-to-alexanderplatz/5e6fe28a8396ad0006b6bd52?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['luxurious', '3-room', 'roof-top']","['apartment', 'entrance', '|']","['Bright', 'Pankow', '|', 'Tram']"
Lovely loft located in Rudow,"€1,500",2,1,50 m²,https://wunderflats.com/en/furnished-apartment/lovely-loft-located-in-rudow/5ff5f72e4f8fc400064cca04?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['loft'],[],['Rudow']
Apartment in Treptow near Kreuzberg with balcony,€990,1,1,30 m²,https://wunderflats.com/en/furnished-apartment/apartment-in-treptow-near-kreuzberg-with-balcony/5e009ecafa198600079378d7?dataLayerKey=6B466ogCMUKmtvQtvqUvm,[],"['Apartment', 'balcony']","['Treptow', 'Kreuzberg']"
Quiet apartment in Dahlem,€920,2,1,34 m²,https://wunderflats.com/en/furnished-apartment/quiet-apartment-in-dahlem/603389719f23500007027fdf?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['Quiet'],['apartment'],['Dahlem']
Bright and beautiful home in Dahlem,"€1,900",3,1,90 m²,https://wunderflats.com/en/furnished-apartment/bright-and-beautiful-home-in-dahlem/60aa4d966123db0007ff3a0a?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['beautiful'],['home'],"['Bright', 'Dahlem']"
"3-Room Central, sunny, 4th floor apartment with balcony","€1,890",3,6,68 m²,https://wunderflats.com/en/furnished-apartment/3-room-central-sunny-4th-floor-apartment-with-balcony/588a29eda0493b7b9501bbe1?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['3-Room'],"['sunny', 'floor', 'apartment', 'balcony']",['Central']
Cosy and practical apartment in Berlin Pankow.,€790,1,1,25 m²,https://wunderflats.com/en/furnished-apartment/cosy-and-practical-apartment-in-berlin-pankow/5f185f5c46e4490006d36190?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['practical'],['apartment'],"['Cosy', 'Berlin', 'Pankow']"
Great studio,"€1,395",2,4,46 m²,https://wunderflats.com/en/furnished-apartment/great-studio/5503283b0d853bf574a2af9b?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['Great'],['studio'],[]
Cozy & neat home located in Grunewald,"€2,900",3,3,140 m²,https://wunderflats.com/en/furnished-apartment/cozy-and-neat-home-located-in-grunewald/5fa50d2de6e88700065f40ca?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['neat'],['home'],"['Cozy', 'Grunewald']"
"Neat & fantastic suite, Berlin","€1,650",2,1,67 m²,https://wunderflats.com/en/furnished-apartment/neat-and-fantastic-suite-berlin/5d664ed45c34b4000666e4b0?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['fantastic'],['suite'],"['Neat', 'Berlin']"
Loft with wonderful waterview + direct access to the water,€880,1,1,35 m²,https://wunderflats.com/en/furnished-apartment/loft-with-wonderful-waterview-direct-access-to-the-water/5c2fa0cffc9be600087266b4?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['wonderful', 'direct']","['waterview', '+', 'access', 'water']",['Loft']
Spacious & cozy flat in Tiergarten,"€3,910",5,4,134.42 m²,https://wunderflats.com/en/furnished-apartment/spacious-and-cozy-flat-in-tiergarten/5f05aba7093ac1000667b12b?dataLayerKey=6B466ogCMUKmtvQtvqUvm,[],"['cozy', 'flat']","['Spacious', 'Tiergarten']"
Nice and fashionable apartment in Charlottenburg,"€1,550",2,1,56 m²,https://wunderflats.com/en/furnished-apartment/nice-and-fashionable-apartment-in-charlottenburg/5b237a20784cddb0d9405144?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['fashionable'],['apartment'],"['Nice', 'Charlottenburg']"
Cute & amazing home in Wilmersdorf,"€1,675",2,1,54 m²,https://wunderflats.com/en/furnished-apartment/cute-and-amazing-home-in-wilmersdorf/5f31515c4bb8fe0006fdc738?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['amazing'],['home'],"['Cute', 'Wilmersdorf']"
"Neat studio in the heart of town, Berlin","€1,815",2,1,55.59 m²,https://wunderflats.com/en/furnished-apartment/neat-studio-in-the-heart-of-town-berlin/5ea0387c0eb7290006b8e081?dataLayerKey=6B466ogCMUKmtvQtvqUvm,[],"['studio', 'heart', 'town']","['Neat', 'Berlin']"
Charming & quiet home located in Prenzlauer Berg,€990,1,1,40 m²,https://wunderflats.com/en/furnished-apartment/charming-and-quiet-home-located-in-prenzlauer-berg/60c79983c54275000766fb55?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['quiet'],['home'],"['Charming', 'Prenzlauer', 'Berg']"
Quiet suite located in Wilmersdorf,"€2,320",4,8,118 m²,https://wunderflats.com/en/furnished-apartment/quiet-suite-located-in-wilmersdorf/5f9dcf25ced5cf00079abe73?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['Quiet'],['suite'],['Wilmersdorf']
Modern Apartment Downtown Berlin with perfect connection,€890,1,1,30 m²,https://wunderflats.com/en/furnished-apartment/modern-apartment-downtown-berlin-with-perfect-connection/5d42f9d7bf81cc0006e9cae7?dataLayerKey=6B466ogCMUKmtvQtvqUvm,"['Modern', 'perfect']",['connection'],"['Apartment', 'Downtown', 'Berlin']"
Beautiful and quiet city apartment with balcony and parking in Moabit,"€1,230",1,1,35 m²,https://wunderflats.com/en/furnished-apartment/beautiful-and-quiet-city-apartment-with-balcony-and-parking-in-moabit/5cf63bfabec074000870c0f0?dataLayerKey=6B466ogCMUKmtvQtvqUvm,['quiet'],"['city', 'apartment', 'balcony', 'parking']","['Beautiful', 'Moabit']"
Perfect suite close to city center,"€3,990",3,8,100 m²,https://wunderflats.com/en/furnished-apartment/perfect-suite-close-to-city-center/5714a58340fda529a2891335?dataLayerKey=6B466ogCMUKmtvQtvqUvm,[],"['suite', 'city', 'center']",['Perfect']
Charming apartment in Berlin Neukolln,"€1,320",2,1,70 m²,https://wunderflats.com/en/furnished-apartment/charming-apartment-in-berlin-neukolln/5dcec514ff97790007d97e9e?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,[],['apartment'],"['Berlin', 'Neukolln']"
lovely apartment located in Mitte/ Rosenthaler Platz,"€1,600",2,1,58 m²,https://wunderflats.com/en/furnished-apartment/lovely-apartment-located-in-mitte-rosenthaler-platz/5788ed6bb24af027537f83e5?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,[],['apartment'],"['Mitte/', 'Rosenthaler', 'Platz']"
Quiet and spacious studio in nice area,€800,1,1,20 m²,https://wunderflats.com/en/furnished-apartment/quiet-and-spacious-studio-in-nice-area/583312a967ef0f68541f10ab?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,"['Quiet', 'spacious', 'nice']","['studio', 'area']",[]
Awesome and fantastic studio (Konradshöhe),"€2,400",3,1,124 m²,https://wunderflats.com/en/furnished-apartment/awesome-and-fantastic-studio-konradshoehe/5be6b7f432098400076eb5a0?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['fantastic'],['studio'],"['Awesome', 'Konradshöhe']"
Central & pretty flat Berlin Main railwaystation,"€1,390",2,1,45 m²,https://wunderflats.com/en/furnished-apartment/central-and-pretty-flat-berlin-main-railwaystation/595bdd3a97240bbc7f25e07e?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['flat'],['railwaystation'],"['Central', 'Berlin', 'Main']"
Extraordinary apartment with individual character in Mitte with good transport connections,"€2,750",3,1,90 m²,https://wunderflats.com/en/furnished-apartment/extraordinary-apartment-with-individual-character-in-mitte-with-good-transport-connections/5f774a268a07750006f984f7?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,"['Extraordinary', 'individual', 'good']","['apartment', 'character', 'transport']",['Mitte']
Beautiful bright apartment in a quiet location in Zehlendorf,"€1,800",3,1,65 m²,https://wunderflats.com/en/furnished-apartment/beautiful-bright-apartment-in-a-quiet-location-in-zehlendorf/5e301ef58745150007619469?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,"['Beautiful', 'bright', 'quiet']","['apartment', 'location']",['Zehlendorf']
Huge 144 sqm Apartment in the southern outskirts of Berlin - 5 rooms,"€4,900",5,6,144 m²,https://wunderflats.com/en/furnished-apartment/huge-144-sqm-apartment-in-the-southern-outskirts-of-berlin-5-rooms/5b216e10831687da37958f76?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,"['sqm', 'southern']",['Apartment'],['Berlin']
"Modern, cute studio in Neukölln","€2,200",3,2,104 m²,https://wunderflats.com/en/furnished-apartment/modern-cute-studio-in-neukoelln/5cf91707e7a8170006849619?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,[],"['cute', 'studio']","['Modern', 'Neukölln']"
"Cute, spacious studio in Neukölln","€1,100",2,2,47 m²,https://wunderflats.com/en/furnished-apartment/cute-spacious-studio-in-neukoelln/5f881fe935917d000646b601?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['spacious'],['studio'],"['Cute', 'Neukölln']"
Modern penthouse in great area,"€4,500",3,3,145 m²,https://wunderflats.com/en/furnished-apartment/modern-penthouse-in-great-area/5e53b848d0183400079f31b8?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['great'],"['penthouse', 'area']",['Modern']
City Apartment Top Location with Maisonette and Garden,"€2,750",1,1,30 m²,https://wunderflats.com/en/furnished-apartment/city-apartment-top-location-with-maisonette-and-garden/5a3e962d1bb1f26bdafa3ed7?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,[],[],"['City', 'Apartment', 'Top', 'Location', 'Maisonette', 'Garden']"
Nicely furnished 2 room apartment not far from Potsdamer Platz,"€1,875",2,1,58 m²,https://wunderflats.com/en/furnished-apartment/nicely-furnished-2-room-apartment-not-far-from-potsdamer-platz/5f2bb53f75a4880006fd6643?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['furnished'],"['room', 'apartment']","['Potsdamer', 'Platz']"
"Awesome, modern apartment","€1,600",2,1,48 m²,https://wunderflats.com/en/furnished-apartment/awesome-modern-apartment/5f15da9b51f91c00068fc464?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['modern'],['apartment'],['Awesome']
"Wonderful bright and modern loft near Potsdamer Platz, Berlin",€990,1,1,40 m²,https://wunderflats.com/en/furnished-apartment/wonderful-bright-and-modern-loft-near-potsdamer-platz-berlin/5cdac1b06c00d10006b910f1?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,"['Wonderful', 'modern']","['bright', 'loft']","['Potsdamer', 'Platz', 'Berlin']"
"Awesome 1,5 bedroom apartment close to park",€721,1,1,35 m²,https://wunderflats.com/en/furnished-apartment/awesome-15-bedroom-apartment-close-to-park/56e6de7fc324b9551298c8ca?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,[],"['bedroom', 'apartment']",[]
"Wendenschloss, perfect, neat apartment in Köpenick","€2,290",3,1,60 m²,https://wunderflats.com/en/furnished-apartment/wendenschloss-perfect-neat-apartment-in-koepenick/58218f55baffec71fe5253af?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['neat'],"['perfect', 'apartment']","['Wendenschloss', 'Köpenick']"
2-Story Flat includes 2 Terraces,"€2,400",2,1,103.15 m²,https://wunderflats.com/en/furnished-apartment/2-story-flat-includes-2-terraces/5f087b24a7945b0006535392?dataLayerKey=h0Bl-iDCgFBx9Ylf7ZlWs,['2-Story'],[],['Flat']
